location,latitude,longitude
NANDI DURGA ROAD,13.313085,77.544858
KUMARA PARK,12.99599,77.58287
DAADYS GAARDEN LAYOUT,12.827893,77.694384
MARUTHI NAGAR,12.9746062,77.6756305
MARSUR,12.767892,77.704373
KALLUMANTAPA,,
MALIMAKANAPURA,,
RUSTAM BAGH LAYOUT,,
NEW THIPPASANDRA,12.9736956,77.6536931
GARDEN LAYOUT,12.960809,77.519144
VISWAPRIYANAGAR.BEGUR ROAD.BOMMANAHALLI.,,
T K REDDY LAYOUT,12.9561948,77.6376138
KUMBENA AGRAHARA,12.997771,77.754811
PAI LAYOUT ,12.9942607,77.6666656
FRAZERTOWN,12.99737,77.61455
AKSHAYANAGARA EAST,13.001146,77.618345
DODDANEKUNDI,12.9713194,77.6964768
VENKATADRI LAYOUT,12.95193975,77.6976526
BOMMENAHALLI,12.82805,76.4923
MAHAGANAPATHY NAGAR,12.887209,77.680655
ANDRAHALLI,13.0085936,77.4830332
VITTAL NAGAR,12.9012176,77.5550809
2ELECTRONIC CITY PHASE II,12.884327,77.562982
3RD BLOCK BANASHANKARI,12.96557,77.60625
BHUVANESHWARI NAGAR,12.9232498,77.5493787
KADARENAHALLI,13.68864,77.62344
LAGGERE,13.0108677,77.5207301
VICTORIA LAYOUT,12.976881,77.598749
PRITHVI LAYOUT,12.92337,77.473459
SUBRAMANYANAGAR,13.003689049999998,77.55378243271718
1 RAMAMURTHY NAGAR,22.714766,75.899639
5TH STAGE BEML LAYOUT,12.906898,77.521518
IVC ROAD,12.946662,77.53009
JAYA MAHAL LAYOUT,,
BSM EXTENSION,13.003872,77.624642
VIJINAPURA,13.0354741,77.57098292199902
BANASWADI,13.0141618,77.6518539
P&T LAYOUT,12.94516,77.486347
BYRASANDRA,12.933863,77.591001
SBM COLONY,13.010655,77.615192
VEERANNAPALYA,13.042449,77.613335
CHOWDESHWARI LAYOUT,12.9421741,77.6020964
MATHIKERE EXTENSION,12.96557,77.60625
SECTOR 2 HSR LAYOUT,12.907824,77.644769
ANANTAPURA,13.11448,77.567779
SHIVAJI NAGAR,12.98915835,77.60608917539606
BADAVALA NAGAR,12.887209,77.680655
4TH BLOCK KORAMANGALA,12.933624,77.629628
BELATUR,12.99864235,77.75346388619738
LALBAGH ROAD,22.705355,75.844886
KAMAKYA LAYOUT,12.923325,77.55333
VIGNANA NAGAR,12.887209,77.680655
NALLURHALLI,13.1161,77.8698
CHINNAPANAHALLI,,
LINGARAJAPURAM,13.0117678,77.6278288
3RD BLOCK HBR LAYOUT,13.0346167,77.6288883
LAXMI SAGAR LAYOUT,12.929481,77.563726
NELAMANGALA,13.101466,77.382911
NAGAVARAPALYA,12.99346445,77.66408684856933
HONGASANDRA,12.8956428,77.6265101
HARAPPANAHALLI,12.77616,77.620014
BTM LAYOUT,12.922005,77.648683
CHENNAMMANA KERE,12.902469,77.550877
KANAKA NAGAR,13.0374105,77.6082063
TASKER TOWN,12.963602,77.584493
GOVINDPURA,12.96557,77.60625
NR COLONY,12.93807,77.569018
